raw_vendor_name,canonical_vendor_name,notes
PERNOD RICARD USA,PERNOD RICARD,Priority Mapping
PROXIMO,PROXIMO,Standardization
LUXCO INC,LUXCO,Suffix Cleanup
MAST-JAGERMEISTER US, JAGERMEISTER,Alias mapping
E & J GALLO WINERY,E & J GALLO,Suffix Cleanup
MOET HENNESSY USA,MOET HENNESSY,Suffix Cleanup
CAMPARI AMERICA,CAMPARI,Suffix Cleanup
PARK STREET IMPORTS,PARK STREET,Suffix Cleanup
"MAST-JAGERMEISTER US, INC",JAGERMEISTER,Brand Alignment
OLE SMOKY DISTILLERY LLC,OLE SMOKY,Suffix Cleanup
MCCORMICK DISTILLING CO.,MCCORMICK,Suffix Cleanup
WILLIAM GRANT & SONS INC,WILLIAM GRANT & SONS,Suffix Cleanup
CEDAR RIDGE VINEYARDS LL,CEDAR RIDGE,Typo/Truncation Fix
REMY COINTREAU USA INC,REMY COINTREAU,Suffix Cleanup
LAIRD & COMPANY,LAIRD & CO,Suffix Cleanup
INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,PRESTIGE BEVERAGE GROUP,Entity Split
"BLUE OX SPIRITS, INC.",BLUE OX SPIRITS,Suffix Cleanup
INFINIUM SPIRITS,INFINIUM SPIRITS,Standardization
PHILLIPS BEVERAGE,PHILLIPS BEVERAGE,Standardization
REVELTON DISTILLING COMPANY,REVELTON DISTILLING,Suffix Cleanup
MHW LTD,MHW,Suffix Cleanup
MISA IMPORTS INC,MISA IMPORTS,Suffix Cleanup
MACH FLYNT INC.,MACH FLYNT,Suffix Cleanup
DEHNER DISTILLERY,DEHNER DISTILLERY,Standardization
WESTERN SPIRITS BEVERAGE,WESTERN SPIRITS,Suffix Cleanup
EDRINGTON GROUP USA LLC,EDRINGTON GROUP,Suffix Cleanup
MPL BRANDS NV INC/ PATCO BRANDS,PATCO BRANDS,Entity Split
"TEQUILAS PREMIUM, INC",TEQUILAS PREMIUM,Suffix Cleanup
MISSISSIPPI RIVER DISTILLING COMPANY LLC,MISSISSIPPI RIVER DISTILLING,Suffix Cleanup
DISARONNO INTERNATIONAL,DISARONNO,Suffix Cleanup
DUNKEL CORPORATION / IOWA DISTILLING,IOWA DISTILLING,Entity Split
STOLI GROUP,STOLI GROUP,Standardization
DV SPIRITS LLC,DV SPIRITS,Suffix Cleanup
THE BARDSTOWN BOURBON COMPANY LLC,BARDSTOWN BOURBON CO,Suffix Cleanup
CHATHAM IMPORTS INC,CHATHAM IMPORTS,Suffix Cleanup
"FOUNDRY DISTILLING COMPANY, LLC",FOUNDRY DISTILLING,Suffix Cleanup
LALO SPIRITS LLC,LALO SPIRITS,Suffix Cleanup
"SOVEREIGN BRANDS, LLC",SOVEREIGN BRANDS,Suffix Cleanup
AIKO IMPORTERS INC,AIKO IMPORTERS,Suffix Cleanup
FIELD OF DREAMS BEVERAGE COMPANY LLC,FIELD OF DREAMS BEVERAGE,Suffix Cleanup
SHAW-ROSS INTERNATIONAL,SHAW-ROSS,Suffix Cleanup
S&B FARMS DISTILLERY,S&B FARMS,Suffix Cleanup
JEM BEVERAGE COMPANY / WESTERN SON,WESTERN SON,Entity Split
W J DEUTSCH & SONS LTD,W J DEUTSCH & SONS,Suffix Cleanup
"HUBER ORCHARDS, INC.",HUBER ORCHARDS,Suffix Cleanup
NEW RIFF DISTILLING,NEW RIFF DISTILLING,Standardization
LONELY OAK DISTILLERY,LONELY OAK DISTILLERY,Standardization
"JOHN ERNEST DISTILLERY, INC.",JOHN ERNEST DISTILLERY,Suffix Cleanup
GRATON SPIRITS COMPANY,PURPLE BRANDS,Entity Split
HOTALING & CO,HOTALING & CO,Standardization
JINRO AMERICA INC,JINRO AMERICA,Suffix Cleanup
PIEDMONT DISTILLERS INC,PIEDMONT DISTILLERS,Suffix Cleanup
SWELL LIQUOR LLC,SWELL LIQUOR,Suffix Cleanup
AMERICAN SPIRITS EXCHANGE,AMERICAN SPIRITS EXCHANGE,Standardization
GRATON SPIRITS COMPANY,PURPLE BRANDS,Entity Split
SUGARLANDS DISTILLING COMPANY LLC,SUGARLANDS DISTILLING,Suffix Cleanup
AMERICAN HERITAGE DISTILLERS,CENTURY FARMS DISTILLERY,Entity Split
SPIRITS OF TENNESSEE LLC,SPIRITS OF TENNESSEE,Suffix Cleanup
173 CRAFT DISTILLERY,173 CRAFT DISTILLERY,Standardization
PALM BAY INTERNATIONAL,PALM BAY INTERNATIONAL,Standardization
MARUSSIA BEVERAGES USA,MARUSSIA BEVERAGES,Suffix Cleanup
CHUCKER SPIRITS,CHUCKER SPIRITS,Suffix Cleanup
PATERNO IMPORTS LTD / TERLATO WINES INTERNATIONAL,TERLATO WINES,Entity Split
DISTILLERS WAY,DISTILLERS WAY,Suffix Cleanup
"T. EDWARD WINES, LTD.",T. EDWARD WINES,Suffix Cleanup
AMERICAN PREMIUM VODKA,AMERICAN PREMIUM VODKA,Suffix Cleanup
LUXURY SPIRITS INTERNATIONAL LLC,LUXURY SPIRITS,Suffix Cleanup
TEMPLETON RYE SPIRITS,TEMPLETON RYE,Suffix Cleanup
15 STARS,15 STARS,Suffix Cleanup
CH DISTILLERY / 773 LLC,CH DISTILLERY,Entity Split
ST GEORGE SPIRITS INC,ST GEORGE SPIRITS,Suffix Cleanup
HARD TRUTH DISTILLING COMPANY LLC,HARD TRUTH DISTILLING,Suffix Cleanup
"MACK & SCHUHLE, INC.",MACK & SCHUHLE,Suffix Cleanup
SALOON SPIRITS LLC,SALOON SPIRITS,Suffix Cleanup
WORLDWIDE LIBATIONS,WORLDWIDE LIBATIONS,Suffix Cleanup
PREMIER DISTRIBUTORS LLC,PREMIER DISTRIBUTORS,Suffix Cleanup
IA-NATIVE SPIRITS,IA-NATIVE SPIRITS,Standardization
KENTUCKY PEERLESS DISTILLING COMPANY,KENTUCKY PEERLESS,Suffix Cleanup
SERRALLES USA,SERRALLES,Suffix Cleanup
GREEN FROG DISTILLERY,GREEN FROG DISTILLERY,Suffix Cleanup
PHANTOM V DISTILLING co,PHANTOM V DISTILLING,Suffix Cleanup
CASTLE BRANDS,CASTLE BRANDS,Standardization
BAD BEAR ENTERPRISES LLC / LEGENDARY RYE,LEGENDARY RYE,Entity Split
MS WALKER INC,MS WALKER,Suffix Cleanup
BRECKENRIDGE DISTILLERY / DOUBLE DIAMOND DISTILLERY LLC,BRECKENRIDGE DISTILLERY,Entity Split
OLD ELK DISTILLERIES LLC,OLD ELK DISTILLERIES,Suffix Cleanup
NEVADA DISTILLING COMPANY LLC,NEVADA DISTILLING,Suffix Cleanup
SHAND IMPORT LLC,SHAND IMPORT,Suffix Cleanup
GRAND PRIX BEVERAGE LLC,GRAND PRIX BEVERAGE,Suffix Cleanup
MANGO BOTTLING,MANGO BOTTLING,Standardization
21ST CENTURY SPIRITS LLC,21ST CENTURY SPIRITS,Suffix Cleanup
OZ SPIRITS LLC,OZ SPIRITS,Suffix Cleanup
BEST CASE WINES LLC,BEST CASE WINES,Suffix Cleanup
10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY,10TH MOUNTAIN WHISKEY,Suffix Cleanup
CHARLES JACQUIN ET CIE,CHARLES JACQUIN ET CIE,Standardization
ATOMIC BRANDS INC,ATOMIC BRANDS,Suffix Cleanup
COOPER SPIRITS INTERNATIONAL,COOPER SPIRITS,Suffix Cleanup
IMPEX BEVERAGE INC,IMPEX BEVERAGE,Suffix Cleanup
CARRIAGE HOUSE IMPORTS,CARRIAGE HOUSE IMPORTS,Standardization
3 BADGE CORPORATION,3 BADGE CORP,Standardization
"ZING ZANG, LLC",ZING ZANG,Suffix Cleanup
RUMCOQUI AND CO,RUMCOQUI,Suffix Cleanup
VINO.COM DBA TOTAL BEVERAGE SOLUTION,TOTAL BEVERAGE SOLUTION,Alias Mapping
CATS EYE DISTILLERY,CATS EYE DISTILLERY,Standardization
KOVAL DISTILLERY,KOVAL DISTILLERY,Standardization
JACOB RIEGER & COMPANY LLC,JACOB RIEGER & CO,Suffix Cleanup
DRIFTLESS GLEN DISTILLERY,DRIFTLESS GLEN DISTILLERY,Standardization
SANTA MARIA VINEYARD & WINERY,SANTA MARIA VINEYARD & WINERY,Standardization
IROKOS GROUP LLC,IROKOS GROUP,Suffix Cleanup
"UNIFIED SPIRITS, LLC",UNIFIED SPIRITS,Suffix Cleanup
DARK ARTS WHISKEY HOUSE LLC,DARK ARTS WHISKEY HOUSE,Suffix Cleanup
"TRUST ME VODKA, INC.",TRUST ME VODKA,Suffix Cleanup
JUDGE RICHARD DISTILLERY,JUDGE RICHARD DISTILLERY,Standardization
CHARBAY DISTILLERS LLC,CHARBAY DISTILLERS,Suffix Cleanup
HAWAII SEA SPIRITS LLC,HAWAII SEA SPIRITS,Suffix Cleanup
SUTTER HOME WINERY INC / TRINCHERO FAMILY ESTATES,TRINCHERO FAMILY ESTATES,Entity Split
"FOLEY FAMILY WINES, INC.",FOLEY FAMILY WINES,Suffix Cleanup
PENNSYLVANIA PURE DISTILLERIES LLC,PENNSYLVANIA PURE DISTILLERIES,Suffix Cleanup
JAMES JOSEPH SANCTIFIED SPIRITS,OAK & EDEN,Alias Mapping
KNEE-HIGH DISTILLING CO. LLC,KNEE-HIGH DISTILLING,Suffix Cleanup
WILDCAT PRODUCTS LLC,WILDCAT PRODUCTS,Suffix Cleanup
"SAGAMORE WHISKEY, LLC",SAGAMORE WHISKEY,Suffix Cleanup
CASA 1921 LLC,CASA 1921,Suffix Cleanup
BLACK ROCK SPIRITS,BLACK ROCK SPIRITS,Standardization
O SO GOOD WINERY & DISTILLERY,O SO GOOD,Suffix Cleanup
"FAR NORTH SPIRITS, INC.",FAR NORTH SPIRITS,Suffix Cleanup
KEYNES INTERNATIONAL TRADE CORPORATION,KEYNES INTERNATIONAL,Suffix Cleanup
HOOD RIVER DISTILLERS,HOOD RIVER DISTILLERS,Standardization
TERRANOVA SPIRITS LLC,TERRANOVA SPIRITS,Suffix Cleanup
FREDRICK WILDMAN & SON,FREDRICK WILDMAN & SON,Standardization
"ROUND 2 SPIRITS, LLC",ROUND 2 SPIRITS,Suffix Cleanup
ALLTECH BEVERAGE DIVISION LLC,ALLTECH BEVERAGE,Suffix Cleanup
ROCKY TOP INVESTMENTS / ROCK RIVER DISTILLATION,ROCK RIVER DISTILLATION,Entity Split
"GLOBAL BEVERAGE TEAM, LLC",GLOBAL BEVERAGE TEAM,Suffix Cleanup
HILLROCK ESTATE DISTILLERY,HILLROCK ESTATE,Suffix Cleanup
"USA WINE WEST, LLC",USA WINE WEST,Suffix Cleanup
OLD LOUISVILLE WHISKEY CO. LLC,OLD LOUISVILLE WHISKEY,Suffix Cleanup
BUZZARDS ROOST SPIRITS LLC,BUZZARDS ROOST SPIRITS,Suffix Cleanup
DEMERARA DISTILLERS (USA) INC.,DEMERARA DISTILLERS,Suffix Cleanup
SODA JERK LLC,SODA JERK,Suffix Cleanup
DUGGANS DISTILLERS,DUGGANS DISTILLERS,Standardization
EASTERN LIQUORS USA,EASTERN LIQUORS,Suffix Cleanup
SAVAGE & COOKE / SANTA CROCE LLC,SAVAGE & COOKE,Entity Split
TRAVERSE CITY WHISKEY CO / TCWC,TRAVERSE CITY WHISKEY,Entity Split
VIKRE DISTILLERY,VIKRE DISTILLERY,Standardization
"WYCH DR. DISTILLING, LLC",WYCH DR. DISTILLING,Suffix Cleanup
CADRE NOIR LLC / CNI BRANDS,CNI BRANDS,Entity Split
WEST BOTTOMS WHISKEY LLC,WEST BOTTOMS WHISKEY,Suffix Cleanup
CALEDONIA SPIRITS,CALEDONIA SPIRITS,Standardization
CHURCHILL VINEYARDS,CHURCHILL VINEYARDS,Standardization
MACCHU PISCO LLC,MACCHU PISCO,Suffix Cleanup
KOLOA RUM COMPANY,KOLOA RUM,Suffix Cleanup
TENN SOUTH DISTILLERY / BIG MACHINE DISTILLERY,BIG MACHINE DISTILLERY,Entity Split
"TATTERSALL COMPANIES, LLC",TATTERSALL,Suffix Cleanup
HARMONY SPIRITS LLC,HARMONY SPIRITS,Suffix Cleanup
TROPICAL DISTILLERY LLC,TROPICAL DISTILLERY,Suffix Cleanup
CNS IMPORTS; FOUR SEASONS TRADING; CNS WINE & SPIRITS,CNS IMPORTS,Consolidation
"SURO INTERNATIONAL IMPORTERS, INC",SURO INTERNATIONAL,Suffix Cleanup
"DRUM CIRCLE DISTILLING, LLC",DRUM CIRCLE DISTILLING,Suffix Cleanup
WOODY CREEK DISTILLERS LLC,WOODY CREEK DISTILLERS,Suffix Cleanup
GLASS REVOLUTION IMPORTS,GLASS REVOLUTION,Suffix Cleanup
RAICILLA SAN GREGORIO INC,RAICILLA SAN GREGORIO,Suffix Cleanup
WINESOURCE INTERNATIONAL INC.,WINESOURCE INTERNATIONAL,Suffix Cleanup
45TH PARALLEL SPIRITS,45TH PARALLEL SPIRITS,Standardization
PYATT ENTERPRISES LLC,PYATT ENTERPRISES,Suffix Cleanup
DREYFUS ASHBY,DREYFUS ASHBY,Standardization
"LOCAL DISTILLING, INC.",LOCAL DISTILLING,Suffix Cleanup
ROYAL WINE CORPORATION,ROYAL WINE,Suffix Cleanup
NORTH SHORE DISTILLERY,NORTH SHORE DISTILLERY,Standardization
UNA FAMILIA SPIRITS LLC,UNA FAMILIA SPIRITS,Suffix Cleanup
FRANK LIN DISTILLERS PRO,FRANK LIN DISTILLERS,Suffix Cleanup
ONE LIFE SPIRITS LLC,ONE LIFE SPIRITS,Suffix Cleanup
SPIRIT IMPORTS INC,SPIRIT IMPORTS,Suffix Cleanup
SAN BARTOLO FARMS INC.,SAN BARTOLO FARMS,Suffix Cleanup
CARIBBEAN SPIRITS INC,CARIBBEAN SPIRITS,Suffix Cleanup
CEO DISTILLING LLC,CEO DISTILLING,Suffix Cleanup
KINGS COUNTY DISTILLERY,KINGS COUNTY DISTILLERY,Standardization
DOC BROWN ENTERPRISES,DOC BROWN,Suffix Cleanup
INTERNATIONAL TRADE ONE CORP,INTERNATIONAL TRADE ONE,Suffix Cleanup
COPPERMUSE INC/COPPERMUSE DISTILLERY,COPPERMUSE,Entity Split
CHOYA UMESHU USA INC.,CHOYA UMESHU,Suffix Cleanup
ATOTO IMPORTERS INCORPORATED,ATOTO IMPORTERS,Suffix Cleanup
BIG DERBY DISTILLING COMPANY,BIG DERBY DISTILLING,Suffix Cleanup
OPICI IMPORT COMPANY,OPICI IMPORT,Suffix Cleanup
HEAVENLY SPIRITS LLC,HEAVENLY SPIRITS,Suffix Cleanup
BALUARTE SPIRITS LLC,BALUARTE SPIRITS,Suffix Cleanup
MAVERICK SPIRIT LLC / OREGON SPIRIT DISTILLERS,OREGON SPIRIT DISTILLERS,Entity Split
"ABSINTHIA'S BOTTLED SPIRITS, LLC",ABSINTHIA'S BOTTLED SPIRITS,Suffix Cleanup
MINHAS MICRO DISTILLERY,MINHAS MICRO DISTILLERY,Standardization
